example_id,vignette_name,failure_mode,condition,problem_type,intersection_size,response_type,has_statistics,variant,prompt,well_posed,normative,true_objective,naive_objective,true_solution,solution_keys,objective_name,implicit_integer,implicit_nonnegative,normative_percent,normative_choice,confidence_required,scepticism_required,scepticism_score_target,option_a_label,option_b_label,violating_solution,violating_objective,optimization_criterion,stated_constraints,tacit_mistake,model,llm_response,reasoning,answer_line,confidence_line,comment_line,parsed_answer_type,parsed_percent,parsed_choice,parsed_confidence,scoring_type,parseable,score,naive_lp_confusion,parsed_objective,parsed_solution
print_shop__integrality__json,print shop,integrality,implicit,implicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A print shop produces posters and booklets for sale. Each poster takes 1.5 hours of printing and 2.25 hours of binding, and each booklet takes 2.25 hours of printing and 1.5 hours of binding. This week the shop has at most 9 hours of printing time and at most 9 hours of binding time. The profit is $37.50 per poster and $50 per booklet.

What production plan gives the highest total profit for the week?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""posters"": <number>, ""booklets"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total profit under that plan.
Example shape (values are placeholders): {""solution"": {""posters"": 0, ""booklets"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",false,implicit_constraints,200,210,"{""booklets"": 4, ""posters"": 0}","posters,booklets",total profit,true,false,200,,false,false,n/a,,,"{""booklets"": 2.4, ""posters"": 2.4}",210,maximize 37.5 p + 50 b,1.5 p + 2.25 b <= 9; 2.25 p + 1.5 b <= 9,"p, b integer",anthropic/claude-opus-5@default,"{""solution"": {""posters"": 0, ""booklets"": 4}, ""cost"": 200}

Assuming production must be in whole units, the best plan is 4 booklets and 0 posters: that uses 9 hours of printing (4 × 2.25) and 6 hours of binding (4 × 1.5), yielding $200 profit.

Notes and qualifications:
- Integer alternatives checked: 4 posters, 0 booklets uses 6h printing and 9h binding for $150; mixed plans such as 2 posters + 2 booklets use 7.5h of each for $175. So 4 booklets dominates.
- If fractional (divisible) production were allowed, the LP optimum is at the intersection of both constraints — 2.4 posters and 2.4 booklets, using all 9 hours of each resource — for $210. The integer requirement costs $10 of profit here.
- Binding time is slack (3 hours unused) in the recommended integer plan; printing is the binding constraint. If more printing hours could be bought or shifted, additional booklets would be the first thing to add.",,"{""solution"": {""posters"": 0, ""booklets"": 4}, ""cost"": 200}

Assuming production must be in whole units, the best plan is 4 booklets and 0 posters: that uses 9 hours of printing (4 × 2.25) and 6 hours of binding (4 × 1.5), yielding $200 profit.

Notes and qualifications:
- Integer alternatives checked: 4 posters, 0 booklets uses 6h printing and 9h binding for $150; mixed plans such as 2 posters + 2 booklets use 7.5h of each for $175. So 4 booklets dominates.
- If fractional (divisible) production were allowed, the LP optimum is at the intersection of both constraints — 2.4 posters and 2.4 booklets, using all 9 hours of each resource — for $210. The integer requirement costs $10 of profit here.
- Binding time is slack (3 hours unused) in the recommended integer plan; printing is the binding constraint. If more printing hours could be bought or shifted, additional booklets would be the first thing to add.",,,probability,200,,,open,true,true,false,200,"{""booklets"": 4, ""posters"": 0}"
print_shop__integrality__needs_tacit_constraint,print shop,integrality,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,"You are reviewing an operations-planning problem. Decide whether a sensible optimal plan requires applying constraints that are not stated in the problem text.

A print shop produces posters and booklets for sale. Each poster takes 1.5 hours of printing and 2.25 hours of binding, and each booklet takes 2.25 hours of printing and 1.5 hours of binding. This week the shop has at most 9 hours of printing time and at most 9 hours of binding time. The profit is $37.50 per poster and $50 per booklet.

Does finding a sensible optimal plan for this problem require applying any constraints that are not stated above (for example, that counts must be whole numbers, or that quantities cannot be negative)?

A. Yes — unstated constraints (such as whole numbers or non-negativity) are needed
B. No — the stated information is enough as written; no unstated constraints are required

Which answer is closest? Reply with only the letter (A or B).",false,needs_tacit_constraint,200,210,"{""booklets"": 4, ""posters"": 0}","posters,booklets",total profit,true,false,200,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""booklets"": 2.4, ""posters"": 2.4}",210,maximize 37.5 p + 50 b,1.5 p + 2.25 b <= 9; 2.25 p + 1.5 b <= 9,"p, b integer",anthropic/claude-opus-5@default,A,,A,,,mc_choice,,A,,mc_numeric,true,true,false,,
specialty_chemicals__signed_domain__detects_tacit_violation,specialty chemicals,signed_domain,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,"You are an operations auditor, checking a proposed plan for another consultant.

The consultant was given the following prompt:

You are an operations consultant. Your task is to recommend the best plan from the information below.

A specialty chemicals plant sets the operating temperatures, in degrees Celsius, for Reaction 1 and Reaction 2. Reaction 1 is normally run at 12°C; this week it may be set anywhere from 30 degrees below that normal setting to 25 degrees above it. Reaction 2 is normally run at 14°C; this week it may be set anywhere from 25 degrees below its normal setting to 30 degrees above it. Side-product losses rise sharply when Reaction 1 runs hotter; conversion on Reaction 2 improves when it runs hotter. Engineers estimate weekly profit (in thousands of dollars) as 85 minus 25 times (Reaction 1 temperature in °C) plus 12 times (Reaction 2 temperature in °C). Shared cooling is limited. The cooling load index is twice (Reaction 1 temperature in °C) plus (Reaction 2 temperature in °C); the index must be at most 8. For equipment balance, Reaction 2's temperature minus twice Reaction 1's temperature may be at most 13.

What temperatures for Reaction 1 and Reaction 2 give the highest weekly profit?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""reaction_1_c"": <number>, ""reaction_2_c"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final weekly profit under that plan.
Example shape (values are placeholders): {""solution"": {""reaction_1_c"": 0, ""reaction_2_c"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.

And proposed the following plan:

{""cost"": 181.0, ""solution"": {""reaction_1_c"": 0, ""reaction_2_c"": 8}}

Is this a sensible plan to recommend to the client?

A. Yes — this plan is sensible
B. No — this plan is not appropriate

Which answer is closest? Reply with only the letter (A or B).",false,detects_tacit_violation,253,181,"{""reaction_1_c"": -12, ""reaction_2_c"": -11}","reaction_1_c,reaction_2_c",weekly profit,false,false,253,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""reaction_1_c"": 0, ""reaction_2_c"": 8}",181,maximize 85 - 25 T1 + 12 T2,2 T1 + T2 <= 8; T2 - 2 T1 <= 13; -18 <= T1 <= 37; -11 <= T2 <= 44,"T1 >= 0, T2 >= 0",anthropic/claude-opus-5@default,,,,,,unparseable,,,,mc_numeric,false,false,false,,
specialty_chemicals__signed_domain__explicit__json,specialty chemicals,signed_domain,explicit,explicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A specialty chemicals plant sets the operating temperatures, in degrees Celsius, for Reaction 1 and Reaction 2. Reaction 1 is normally run at 12°C; this week it may be set anywhere from 30 degrees below that normal setting to 25 degrees above it. Reaction 2 is normally run at 14°C; this week it may be set anywhere from 25 degrees below its normal setting to 30 degrees above it. Side-product losses rise sharply when Reaction 1 runs hotter; conversion on Reaction 2 improves when it runs hotter. Engineers estimate weekly profit (in thousands of dollars) as 85 minus 25 times (Reaction 1 temperature in °C) plus 12 times (Reaction 2 temperature in °C). Shared cooling is limited. The cooling load index is twice (Reaction 1 temperature in °C) plus (Reaction 2 temperature in °C); the index must be at most 8. For equipment balance, Reaction 2's temperature minus twice Reaction 1's temperature may be at most 13. Temperatures must stay within the bands above relative to each reaction's normal setting. Do not assume temperatures must be at or above 0°C if a setting below 0°C is still within a reaction's band.

What temperatures for Reaction 1 and Reaction 2 give the highest weekly profit?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""reaction_1_c"": <number>, ""reaction_2_c"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final weekly profit under that plan.
Example shape (values are placeholders): {""solution"": {""reaction_1_c"": 0, ""reaction_2_c"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",true,explicit_constraints,253,181,"{""reaction_1_c"": -12, ""reaction_2_c"": -11}","reaction_1_c,reaction_2_c",weekly profit,false,false,253,,false,false,n/a,,,"{""reaction_1_c"": 0, ""reaction_2_c"": 8}",181,maximize 85 - 25 T1 + 12 T2,2 T1 + T2 <= 8; T2 - 2 T1 <= 13; -18 <= T1 <= 37; -11 <= T2 <= 44,"T1 >= 0, T2 >= 0",anthropic/claude-opus-5@default,"{""solution"": {""reaction_1_c"": -18, ""reaction_2_c"": -11}, ""cost"": 403}

Bounds: x1 ∈ [12−30, 12+25] = [−18, 37]; x2 ∈ [14−25, 14+30] = [−11, 44].

Objective: maximize 85 − 25·x1 + 12·x2, so we want x1 as low as possible and x2 as high as possible.

Constraints: 2·x1 + x2 ≤ 8 and x2 − 2·x1 ≤ 13.

At x1 = −18 (its lower bound, best for profit), the cooling constraint allows x2 ≤ 8 − 2(−18) = 44, but the equipment-balance constraint requires x2 ≤ 13 + 2(−18) = −23, which is below x2's lower bound of −11. So x1 = −18 with any feasible x2 violates balance — the balance constraint is binding and pushes x1 upward.

Re-solving: balance gives x1 ≥ (x2 − 13)/2. Substituting x1 = (x2 − 13)/2 into the objective yields 85 − 12.5·x2 + 162.5 + 12·x2 = 247.5 − 0.5·x2, which decreases in x2. So set x2 at its minimum, −11, giving x1 ≥ −12. Profit = 85 + 300 − 132 = 253 at (−12, −11).

Compare with the alternative corner where x1 is at its bound: infeasible as shown. Checking all feasible vertices — (−12, −11) gives 253; (−18, −11) violates balance (−11 − (−36) = 25 > 13).

Correction: the true optimum is (−12, −11) with profit 253, not the value stated in the JSON above. The corrected answer is {""solution"": {""reaction_1_c"": -12, ""reaction_2_c"": -11}, ""cost"": 253}.",,"{""solution"": {""reaction_1_c"": -18, ""reaction_2_c"": -11}, ""cost"": 403}

Bounds: x1 ∈ [12−30, 12+25] = [−18, 37]; x2 ∈ [14−25, 14+30] = [−11, 44].

Objective: maximize 85 − 25·x1 + 12·x2, so we want x1 as low as possible and x2 as high as possible.

Constraints: 2·x1 + x2 ≤ 8 and x2 − 2·x1 ≤ 13.

At x1 = −18 (its lower bound, best for profit), the cooling constraint allows x2 ≤ 8 − 2(−18) = 44, but the equipment-balance constraint requires x2 ≤ 13 + 2(−18) = −23, which is below x2's lower bound of −11. So x1 = −18 with any feasible x2 violates balance — the balance constraint is binding and pushes x1 upward.

Re-solving: balance gives x1 ≥ (x2 − 13)/2. Substituting x1 = (x2 − 13)/2 into the objective yields 85 − 12.5·x2 + 162.5 + 12·x2 = 247.5 − 0.5·x2, which decreases in x2. So set x2 at its minimum, −11, giving x1 ≥ −12. Profit = 85 + 300 − 132 = 253 at (−12, −11).

Compare with the alternative corner where x1 is at its bound: infeasible as shown. Checking all feasible vertices — (−12, −11) gives 253; (−18, −11) violates balance (−11 − (−36) = 25 > 13).

Correction: the true optimum is (−12, −11) with profit 253, not the value stated in the JSON above. The corrected answer is {""solution"": {""reaction_1_c"": -12, ""reaction_2_c"": -11}, ""cost"": 253}.",,,probability,403,,,open,true,false,false,403,"{""reaction_1_c"": -18, ""reaction_2_c"": -11}"
specialty_chemicals__signed_domain__json,specialty chemicals,signed_domain,implicit,implicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A specialty chemicals plant sets the operating temperatures, in degrees Celsius, for Reaction 1 and Reaction 2. Reaction 1 is normally run at 12°C; this week it may be set anywhere from 30 degrees below that normal setting to 25 degrees above it. Reaction 2 is normally run at 14°C; this week it may be set anywhere from 25 degrees below its normal setting to 30 degrees above it. Side-product losses rise sharply when Reaction 1 runs hotter; conversion on Reaction 2 improves when it runs hotter. Engineers estimate weekly profit (in thousands of dollars) as 85 minus 25 times (Reaction 1 temperature in °C) plus 12 times (Reaction 2 temperature in °C). Shared cooling is limited. The cooling load index is twice (Reaction 1 temperature in °C) plus (Reaction 2 temperature in °C); the index must be at most 8. For equipment balance, Reaction 2's temperature minus twice Reaction 1's temperature may be at most 13.

What temperatures for Reaction 1 and Reaction 2 give the highest weekly profit?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""reaction_1_c"": <number>, ""reaction_2_c"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final weekly profit under that plan.
Example shape (values are placeholders): {""solution"": {""reaction_1_c"": 0, ""reaction_2_c"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",false,implicit_constraints,253,181,"{""reaction_1_c"": -12, ""reaction_2_c"": -11}","reaction_1_c,reaction_2_c",weekly profit,false,false,253,,false,false,n/a,,,"{""reaction_1_c"": 0, ""reaction_2_c"": 8}",181,maximize 85 - 25 T1 + 12 T2,2 T1 + T2 <= 8; T2 - 2 T1 <= 13; -18 <= T1 <= 37; -11 <= T2 <= 44,"T1 >= 0, T2 >= 0",anthropic/claude-opus-5@default,"{""solution"": {""reaction_1_c"": -18, ""reaction_2_c"": -11}, ""cost"": 403}

Variables: x = Reaction 1 temp ∈ [12−30, 12+25] = [−18, 37]; y = Reaction 2 temp ∈ [14−25, 14+30] = [−11, 44].

Maximize P = 85 − 25x + 12y subject to 2x + y ≤ 8 and y − 2x ≤ 13.

Profit rises as x falls, so push x to its lower bound of −18. With x = −18, the cooling constraint gives y ≤ 8 + 36 = 44, but the equipment-balance constraint gives y ≤ 13 + 2(−18) = −23, which is below the lower bound of y = −11. So the balance constraint is infeasible at x = −18 — indeed, combining y ≥ −11 with y − 2x ≤ 13 requires x ≥ (y − 13)/2 ≥ −12.

Optimal is therefore x = −12, y = −11 (balance binding at −11 − (−24) = 13 ≤ 13; cooling load = −24 − 11 = −35 ≤ 8). Profit = 85 + 300 − 132 = 253.

Correction: the values above should be x = −12, y = −11 with profit 253. The JSON on the first line is in error; the correct plan is Reaction 1 at −12 °C and Reaction 2 at −11 °C, giving $253 thousand. Note that raising Reaction 2 above −11 would force Reaction 1 hotter (via the balance constraint) at a net loss of 12.5 − 12 = 0.5 per degree, so the cold corner is best.",,"{""solution"": {""reaction_1_c"": -18, ""reaction_2_c"": -11}, ""cost"": 403}

Variables: x = Reaction 1 temp ∈ [12−30, 12+25] = [−18, 37]; y = Reaction 2 temp ∈ [14−25, 14+30] = [−11, 44].

Maximize P = 85 − 25x + 12y subject to 2x + y ≤ 8 and y − 2x ≤ 13.

Profit rises as x falls, so push x to its lower bound of −18. With x = −18, the cooling constraint gives y ≤ 8 + 36 = 44, but the equipment-balance constraint gives y ≤ 13 + 2(−18) = −23, which is below the lower bound of y = −11. So the balance constraint is infeasible at x = −18 — indeed, combining y ≥ −11 with y − 2x ≤ 13 requires x ≥ (y − 13)/2 ≥ −12.

Optimal is therefore x = −12, y = −11 (balance binding at −11 − (−24) = 13 ≤ 13; cooling load = −24 − 11 = −35 ≤ 8). Profit = 85 + 300 − 132 = 253.

Correction: the values above should be x = −12, y = −11 with profit 253. The JSON on the first line is in error; the correct plan is Reaction 1 at −12 °C and Reaction 2 at −11 °C, giving $253 thousand. Note that raising Reaction 2 above −11 would force Reaction 1 hotter (via the balance constraint) at a net loss of 12.5 − 12 = 0.5 per degree, so the cold corner is best.",,,probability,403,,,open,true,false,false,403,"{""reaction_1_c"": -18, ""reaction_2_c"": -11}"
specialty_chemicals__signed_domain__needs_tacit_constraint,specialty chemicals,signed_domain,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,"You are reviewing an operations-planning problem. Decide whether a sensible optimal plan requires applying constraints that are not stated in the problem text.

A specialty chemicals plant sets the operating temperatures, in degrees Celsius, for Reaction 1 and Reaction 2. Reaction 1 is normally run at 12°C; this week it may be set anywhere from 30 degrees below that normal setting to 25 degrees above it. Reaction 2 is normally run at 14°C; this week it may be set anywhere from 25 degrees below its normal setting to 30 degrees above it. Side-product losses rise sharply when Reaction 1 runs hotter; conversion on Reaction 2 improves when it runs hotter. Engineers estimate weekly profit (in thousands of dollars) as 85 minus 25 times (Reaction 1 temperature in °C) plus 12 times (Reaction 2 temperature in °C). Shared cooling is limited. The cooling load index is twice (Reaction 1 temperature in °C) plus (Reaction 2 temperature in °C); the index must be at most 8. For equipment balance, Reaction 2's temperature minus twice Reaction 1's temperature may be at most 13.

Does finding a sensible optimal plan for this problem require applying any constraints that are not stated above (for example, that counts must be whole numbers, or that quantities cannot be negative)?

A. Yes — unstated constraints (such as whole numbers or non-negativity) are needed
B. No — the stated information is enough as written; no unstated constraints are required

Which answer is closest? Reply with only the letter (A or B).",false,needs_tacit_constraint,253,181,"{""reaction_1_c"": -12, ""reaction_2_c"": -11}","reaction_1_c,reaction_2_c",weekly profit,false,false,253,B,false,true,B,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""reaction_1_c"": 0, ""reaction_2_c"": 8}",181,maximize 85 - 25 T1 + 12 T2,2 T1 + T2 <= 8; T2 - 2 T1 <= 13; -18 <= T1 <= 37; -11 <= T2 <= 44,"T1 >= 0, T2 >= 0",anthropic/claude-opus-5@default,"<thinking>
Variables: T1 in [12-30, 12+25] = [-18, 37]. T2 in [14-25, 14+30] = [-11, 44].

Maximize 85 - 25 T1 + 12 T2, subject to 2T1 + T2 ≤ 8, T2 - 2T1 ≤ 13.

Temperatures can be negative naturally, so non-negativity isn't needed. Bounds are stated. So no unstated constraints needed.

Check: minimize T1, maximize T2. T1 = -18: then T2 ≤ 8 - 2(-18) = 44, and T2 ≤ 13 + 2(-18) = -23. So T2 ≤ -23, but T2 ≥ -11. Infeasible at T1=-18.

Need T2 ≥ -11 → 13 + 2T1 ≥ -11 → T1 ≥ -12. So feasible.

Anyway, the answer is B.
</thinking>B",,</thinking>B,,,mc_choice,,B,,mc_numeric,true,true,false,,
warehouse_shipping__nonnegativity__detects_tacit_violation,warehouse shipping,nonnegativity,implicit,detects_tacit_violation,,detects_tacit_violation,true,detects_tacit_violation,"You are an operations auditor, checking a proposed plan for another consultant.

The consultant was given the following prompt:

You are an operations consultant. Your task is to recommend the best plan from the information below.

A retailer needs at least 16 pallets delivered to a store. Warehouse 1 ships for $2.50 per pallet and uses 1.0 hour of dock time per pallet; Warehouse 2 ships for $4.00 per pallet and uses 0.5 hour of dock time per pallet. The store has at most 12 hours of dock time available.

What shipping plan meets the store's requirement at the lowest total cost?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""warehouse_1"": <number>, ""warehouse_2"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total cost under that plan.
Example shape (values are placeholders): {""solution"": {""warehouse_1"": 0, ""warehouse_2"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.

And proposed the following plan:

{""cost"": 34.0, ""solution"": {""warehouse_1"": 20, ""warehouse_2"": -4}}

Is this a sensible plan to recommend to the client?

A. Yes — this plan is sensible
B. No — this plan is not appropriate

Which answer is closest? Reply with only the letter (A or B).",false,detects_tacit_violation,52,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}","warehouse_1,warehouse_2",total cost,false,true,52,B,false,true,B,Yes — this plan is sensible,No — this plan is not appropriate,"{""warehouse_1"": 20, ""warehouse_2"": -4}",34,minimize 2.5 w1 + 4.0 w2,w1 + w2 >= 16; w1 + 0.5 w2 <= 12,"w1, w2 >= 0",anthropic/claude-opus-5@default,,,,,,unparseable,,,,mc_numeric,false,false,false,,
warehouse_shipping__nonnegativity__explicit__json,warehouse shipping,nonnegativity,explicit,explicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A retailer needs at least 16 pallets delivered to a store. Warehouse 1 ships for $2.50 per pallet and uses 1.0 hour of dock time per pallet; Warehouse 2 ships for $4.00 per pallet and uses 0.5 hour of dock time per pallet. The store has at most 12 hours of dock time available. Shipments from each warehouse must be non-negative (a warehouse cannot ship a negative number of pallets).

What shipping plan meets the store's requirement at the lowest total cost?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""warehouse_1"": <number>, ""warehouse_2"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total cost under that plan.
Example shape (values are placeholders): {""solution"": {""warehouse_1"": 0, ""warehouse_2"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",true,explicit_constraints,52,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}","warehouse_1,warehouse_2",total cost,false,true,52,,false,false,n/a,,,"{""warehouse_1"": 20, ""warehouse_2"": -4}",34,minimize 2.5 w1 + 4.0 w2,w1 + w2 >= 16; w1 + 0.5 w2 <= 12,"w1, w2 >= 0",anthropic/claude-opus-5@default,"{""solution"": {""warehouse_1"": 8, ""warehouse_2"": 8}, ""cost"": 52}

Minimize 2.5x₁ + 4x₂ subject to x₁ + x₂ ≥ 16, x₁ + 0.5x₂ ≤ 12, x₁, x₂ ≥ 0.

Warehouse 1 is cheaper per pallet, so we want as much volume there as possible, but dock time binds: 16 pallets all from Warehouse 1 would need 16 hours, exceeding the 12-hour limit. The feasible region's vertices are (8, 8) and (0, 16). Costs: (8,8) → $52; (0,16) → $64. Shipping more than 16 pallets total only adds cost, so the requirement binds at exactly 16.

Recommended plan: 8 pallets from Warehouse 1 and 8 from Warehouse 2, total $52, using exactly 12 hours of dock time (fully consumed — no slack). Note this leaves no buffer for dock delays; if dock capacity risk is a concern, shifting one pallet to Warehouse 2 (7 and 9) frees 0.5 hour at an added cost of $1.50.",,"{""solution"": {""warehouse_1"": 8, ""warehouse_2"": 8}, ""cost"": 52}

Minimize 2.5x₁ + 4x₂ subject to x₁ + x₂ ≥ 16, x₁ + 0.5x₂ ≤ 12, x₁, x₂ ≥ 0.

Warehouse 1 is cheaper per pallet, so we want as much volume there as possible, but dock time binds: 16 pallets all from Warehouse 1 would need 16 hours, exceeding the 12-hour limit. The feasible region's vertices are (8, 8) and (0, 16). Costs: (8,8) → $52; (0,16) → $64. Shipping more than 16 pallets total only adds cost, so the requirement binds at exactly 16.

Recommended plan: 8 pallets from Warehouse 1 and 8 from Warehouse 2, total $52, using exactly 12 hours of dock time (fully consumed — no slack). Note this leaves no buffer for dock delays; if dock capacity risk is a concern, shifting one pallet to Warehouse 2 (7 and 9) frees 0.5 hour at an added cost of $1.50.",,,probability,52,,,open,true,true,false,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}"
warehouse_shipping__nonnegativity__json,warehouse shipping,nonnegativity,implicit,implicit_constraints,,json,true,json,"You are an operations consultant. Your task is to recommend the best plan from the information below.

A retailer needs at least 16 pallets delivered to a store. Warehouse 1 ships for $2.50 per pallet and uses 1.0 hour of dock time per pallet; Warehouse 2 ships for $4.00 per pallet and uses 0.5 hour of dock time per pallet. The store has at most 12 hours of dock time available.

What shipping plan meets the store's requirement at the lowest total cost?

Reply in this format:
1. Output the JSON object first on its own line.
2. Then on the next line any comments, qualifications, etc.

JSON object of this form:
{""solution"": {""warehouse_1"": <number>, ""warehouse_2"": <number>}, ""cost"": <number>}
The `solution` object is the optimal plan. The `cost` field is the final total cost under that plan.
Example shape (values are placeholders): {""solution"": {""warehouse_1"": 0, ""warehouse_2"": 0}, ""cost"": 0}
Do not include a dollar sign or markdown fences around the JSON.",false,implicit_constraints,52,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}","warehouse_1,warehouse_2",total cost,false,true,52,,false,false,n/a,,,"{""warehouse_1"": 20, ""warehouse_2"": -4}",34,minimize 2.5 w1 + 4.0 w2,w1 + w2 >= 16; w1 + 0.5 w2 <= 12,"w1, w2 >= 0",anthropic/claude-opus-5@default,"{""solution"": {""warehouse_1"": 8, ""warehouse_2"": 8}, ""cost"": 52}

Constraints: x + y ≥ 16 (pallets), 1.0x + 0.5y ≤ 12 (dock hours), x, y ≥ 0. Warehouse 1 is cheaper per pallet ($2.50 vs $4.00) but consumes twice the dock time, so the dock capacity binds. At the optimum both constraints are tight: x + y = 16 and x + 0.5y = 12, giving x = 8, y = 8, with cost 8(2.50) + 8(4.00) = $52.00. All 12 dock hours are used and exactly 16 pallets are delivered.

Qualifications: (1) The solution happens to be integer-valued, so no rounding issue arises; if fractional pallets were disallowed and the vertex had been fractional, a small adjustment would be needed. (2) Shipping more than 16 pallets never helps — every extra pallet adds cost and dock time. (3) The plan has zero slack on dock time, so any delay or overrun at the dock puts the delivery at risk; if you want a buffer, note that shifting one pallet from Warehouse 1 to Warehouse 2 (7 and 9) frees 0.5 hour of dock time for an extra $1.50. (4) If dock capacity could be raised to 16 hours, the all-Warehouse-1 plan (16 pallets, $40) would be feasible and would save $12 — worth checking whether extra dock time can be arranged.",,"{""solution"": {""warehouse_1"": 8, ""warehouse_2"": 8}, ""cost"": 52}

Constraints: x + y ≥ 16 (pallets), 1.0x + 0.5y ≤ 12 (dock hours), x, y ≥ 0. Warehouse 1 is cheaper per pallet ($2.50 vs $4.00) but consumes twice the dock time, so the dock capacity binds. At the optimum both constraints are tight: x + y = 16 and x + 0.5y = 12, giving x = 8, y = 8, with cost 8(2.50) + 8(4.00) = $52.00. All 12 dock hours are used and exactly 16 pallets are delivered.

Qualifications: (1) The solution happens to be integer-valued, so no rounding issue arises; if fractional pallets were disallowed and the vertex had been fractional, a small adjustment would be needed. (2) Shipping more than 16 pallets never helps — every extra pallet adds cost and dock time. (3) The plan has zero slack on dock time, so any delay or overrun at the dock puts the delivery at risk; if you want a buffer, note that shifting one pallet from Warehouse 1 to Warehouse 2 (7 and 9) frees 0.5 hour of dock time for an extra $1.50. (4) If dock capacity could be raised to 16 hours, the all-Warehouse-1 plan (16 pallets, $40) would be feasible and would save $12 — worth checking whether extra dock time can be arranged.",,,probability,52,,,open,true,true,false,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}"
warehouse_shipping__nonnegativity__needs_tacit_constraint,warehouse shipping,nonnegativity,implicit,needs_tacit_constraint,,needs_tacit_constraint,true,needs_tacit_constraint,"You are reviewing an operations-planning problem. Decide whether a sensible optimal plan requires applying constraints that are not stated in the problem text.

A retailer needs at least 16 pallets delivered to a store. Warehouse 1 ships for $2.50 per pallet and uses 1.0 hour of dock time per pallet; Warehouse 2 ships for $4.00 per pallet and uses 0.5 hour of dock time per pallet. The store has at most 12 hours of dock time available.

Does finding a sensible optimal plan for this problem require applying any constraints that are not stated above (for example, that counts must be whole numbers, or that quantities cannot be negative)?

A. Yes — unstated constraints (such as whole numbers or non-negativity) are needed
B. No — the stated information is enough as written; no unstated constraints are required

Which answer is closest? Reply with only the letter (A or B).",false,needs_tacit_constraint,52,52,"{""warehouse_1"": 8, ""warehouse_2"": 8}","warehouse_1,warehouse_2",total cost,false,true,52,A,false,true,A,Yes — unstated constraints (such as whole numbers or non-negativity) are needed,No — the stated information is enough as written; no unstated constraints are required,"{""warehouse_1"": 20, ""warehouse_2"": -4}",34,minimize 2.5 w1 + 4.0 w2,w1 + w2 >= 16; w1 + 0.5 w2 <= 12,"w1, w2 >= 0",anthropic/claude-opus-5@default,A,,A,,,mc_choice,,A,,mc_numeric,true,true,false,,
